"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"V1",1,0.765142976858907,0.814600982358385,-0.123237860871203,0.595921246729271,0.252613188897043,0.544947665896746,-0.280415336530658,0.378248041515303,-0.104483025192919,0.118941675413745,0.0232854837129736,0.049003911947908,-0.0528885777114858,-0.0824576745484031,-0.179408533337274,0.136108473324709,0.00848278169561105,0.030444956874174,0.0324552035629739,-0.082085479479096,0.0187299621354165,-0.0317472113876009,-0.0424762119858152,0.0444893874454107,0.0173737899754217,0.0399768849661945,0.00286444023416601,0.0202856054119073,0.0328382325020405,0.0469979577668085,-0.0318726015871772,-0.0792001352525079,-0.125776059448701,-0.0053616716798599,0.00282284750685569
"V2",0.765142976858907,1,0.700298102970983,-0.130409058375919,0.595934485196189,0.331038376626762,0.342488266164767,-0.203141301185696,0.334874459434016,-0.0508020337622853,-0.0324397362296296,0.0206584547050735,-0.204985981855327,-0.110119043721037,-0.0810232962710278,-0.1443404469812,0.173548246273793,0.0106093333428091,0.0177112478571727,-0.0071567350872353,-0.0269320581084264,-0.00196091703843012,-0.0606243160381629,-0.0336032304226526,0.0644127656423851,0.0105840456722546,0.049811662767108,-0.0178273058872963,0.0609995850294823,0.052293779446946,0.0415565251834101,-0.0204980561529961,-0.148571589043655,-0.191642056077913,0.0249018516742586,0.0165633499510663
"V3",0.814600982358385,0.700298102970983,1,-0.126078473466054,0.566082673363442,0.25233244388712,0.509361888668311,-0.262471920833922,0.214721852166978,-0.0663436660702033,-0.0316478674510461,0.103348711785749,-0.0570644612400457,-0.0812398952202242,-0.0460084171484722,-0.0735504014852234,0.126534671126793,0.0571694269854987,0.0208052246174939,0.0216818343783134,-0.00139491996900599,0.0357914623279942,-0.016051016487946,0.0106488779926675,0.0574375786169316,0.047835590533018,0.141897565272166,0.105219256067694,0.0808011768824775,0.0404527588781457,-0.0178194097923125,-0.0388056958723719,-0.106897304660273,-0.077940388940546,0.0438096943211586,0.0427142915314288
"V4",-0.123237860871203,-0.130409058375919,-0.126078473466054,1,-0.304106114021349,-0.179973111959684,-0.288767238164814,-0.498496272868281,-0.228020729669026,-0.140500188657965,-0.297748569256336,-0.316386357406532,-0.269697861358628,-0.342794278293046,-0.166565127840013,-0.391868698211742,-0.407520204186196,-0.436744582512529,-0.0210833809317387,-0.0099856435438218,0.0128369109183956,-0.0259433201934564,0.0353034381871355,0.0333066691086445,-0.020529804085496,0.000755294265070965,0.0205587373414497,0.065113274631966,0.0157437487497442,-0.00554861117268337,-0.0729570495201483,0.0444459249337193,0.0203746818449624,0.0870016854288675,0.0452838192413848,-0.0320037689791583
"V5",0.595921246729271,0.595934485196189,0.566082673363442,-0.304106114021349,1,0.33532719233129,0.557230684763524,-0.316113722567377,0.378957479250726,-0.0129354570207908,0.17476184613749,0.350572599167956,-0.00135339910854058,0.285214947113381,0.0804564263119208,0.259741322541213,0.417857493508309,0.368389250612056,-0.0334936478787007,-0.031058952901491,-0.0519408185245508,-0.0122422607953092,-0.0456913347210168,-0.053129692587123,0.0782301195477272,0.0153554561926363,0.0606723062283015,-0.00567482562305328,0.0570783934568852,0.0377620532035829,0.103295940623179,-0.0175262909220964,0.00113713066065567,-0.0723319530029379,-0.0608724768029663,0.0100416961054198
"V6",0.252613188897043,0.331038376626762,0.25233244388712,-0.179973111959684,0.33532719233129,1,0.203754887750353,-0.145932871243304,0.194366135528764,-0.0333140404700734,0.291053337500498,-0.00775352169597834,0.16998551978597,0.0616333631791204,-0.0423019817100854,-0.00921004881426362,0.188487518697155,0.109493897004185,-0.0808079636121617,-0.0824414554814079,-0.0767006692012832,-0.148943469824792,-0.134625367726822,-0.136731298588506,-0.0208942683934615,-0.147701196652466,-0.0146554982427489,-0.0159166348552468,0.0139551628591478,0.0811274141225151,0.0619042213440471,-0.119907011323709,-0.0285727797957354,-0.00683219058944886,-0.131628574026221,-0.0590204041068132
"V7",0.544947665896746,0.342488266164767,0.509361888668311,-0.288767238164814,0.557230684763524,0.203754887750353,1,-0.249571608169026,0.272155180025425,-0.0695858925746645,0.196930315075605,0.27694247552935,0.173646519492755,0.148369030507671,0.0230690041921285,0.167366906482453,0.297688414633864,0.266693531858797,0.00407997272678731,0.0112555287036758,-0.0809361042602298,0.026777236443434,-0.063729082296342,-0.0919345275081274,-0.0147233011887505,-0.00613343427549249,-0.0205618228754384,-0.0184461534831264,-0.0393714512322377,-0.0514077784616185,0.0112139625276624,-0.108878014275087,-0.0374284426777241,-0.0230133555066028,-0.0512127876986599,-0.0137325681521151
"V8",-0.280415336530658,-0.203141301185696,-0.262471920833922,-0.498496272868281,-0.316113722567377,-0.145932871243304,-0.249571608169026,1,-0.225139310273815,-0.170157530290943,-0.257631446411576,-0.315116076776059,-0.185480884877224,-0.255016121848557,-0.246592168285811,-0.248502518730936,-0.285142995446799,-0.264732960787086,0.0507988574425473,0.0336510396902119,0.0286996922609501,0.0385443489839975,-0.0012278590877681,0.0432687136339586,-0.00354960880961326,0.0211499164785034,-0.0158390245143328,-0.0347815332560903,0.00759552149048419,0.0200784076619458,0.0847432496792078,0.0116746732239751,-0.0370937194750969,-0.0452308742514621,-0.0554734411350066,-0.00771329554503551
"V9",0.378248041515303,0.334874459434016,0.214721852166978,-0.228020729669026,0.378957479250726,0.194366135528764,0.272155180025425,-0.225139310273815,1,-0.0378065931035845,0.422729363620435,0.165619870054327,0.152801890018202,0.369410240368644,-0.0043982315912844,0.119780910419479,0.383960527876378,0.273198629871545,-0.106854274068524,-0.0699096393900571,-0.0819673651871174,-0.1128155873751,-0.102295236084334,-0.110802513638891,-0.0379739031313634,-0.104916028897414,0.00576777772664054,-0.0223875563636097,0.0368657728159676,0.0485296950410404,0.0358355089768419,-0.1037550399506,-0.0570586614899556,-0.0922045737343627,-0.085965935176769,-0.0514182734897876
"V10",-0.104483025192919,-0.0508020337622853,-0.0663436660702033,-0.140500188657965,-0.0129354570207908,-0.0333140404700734,-0.0695858925746645,-0.170157530290943,-0.0378065931035845,1,-0.066155630821377,0.0132439025451025,-0.0794753857256337,-0.0164688889344597,-0.0155401885658224,0.055830027258594,-0.0475428514667981,0.0113320422341095,0.0452831070019414,0.0226185170386512,0.037307303553136,0.0214152990983156,0.0431542890091735,0.0555522954319584,0.0207122286101247,0.0556391398256481,0.000813296312398329,0.0250539600772591,0.0121823734130896,0.0203014077329064,-0.0443200443032694,0.0529631468395622,0.00409688248606566,0.00801342292992879,0.0751217965828199,0.0598865419918816
